ID,NAME,KANA,RESPONSE,PREFEC,DISTRICT,PR,PRBLOCK,PARTY,INCUMB,TERM,SEX,AGE,RESULT,Q1_1,Q1_2,Q1_3,Q2_1,Q2_2,Q2_3,Q3_1_1,Q3_1_2,Q3_1_3,Q3_1_4,Q3_1_5,Q3_1_6,Q3_1_7,Q3_1_8,Q3_1_9,Q3_1_10,Q3_1_11,Q3_2_1,Q3_2_2,Q3_2_3,Q3_2_4,Q3_2_5,Q3_2_6,Q3_2_7,Q3_2_8,Q3_2_9,Q3_2_10,Q3_2_11,Q4_1,Q4_2,Q4_3,Q4_4,Q4_5,Q4_6,Q4_7,Q4_8,Q5_1,Q5_2,Q5_3,Q5_4,Q5_5,Q6_1,Q6_2,Q6_3,Q6_4,Q6_5,Q6_6,Q6_7,Q6_8,Q6_9,Q6_10,Q6_11,Q6_12,Q6_13,Q6_14,Q6_15,Q6_16,Q6_17,Q7_1,Q7_2,Q7_3,Q7_4,Q7_5,Q7_6,Q7_7,Q8,SQ8_1,SQ8_2,SQ8_3,SQ8_4,SQ8_5,SQ8_6,SQ8_7,SQ8_8,SQ8_9,SQ8_10,SQ8_11,SQ8_12,SQ8_13,SQ8_14,SQ8_15,SQ8_16,Q9_1,Q9_2,Q9_3,Q9_4,Q9_5,Q9_6,Q9_7,Q9_8,Q9_9,Q9_10,Q10_1,Q10_2,Q10_3,Q10_4,Q10_5,Q10_6,Q10_7,Q10_8,Q10_9,Q10_10,Q1_1_FA,Q1_2_FA,Q1_3_FA,SQ8_16_FA
11,中村＝裕之,なかむら・ひろゆき,1,1,4,0,51,1,3,3,1,60,2,2,3,14,4,7,2,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,90,10,80,0,40,50,60,0,5,5,4,1,1,1,1,1,4,1,5,1,1,2,1,2,4,2,1,5,3,3,1,1,2,1,5,1,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,0,1,0,0,99,99,99,99
12,大津＝伸太郎,おおつ・しんたろう,1,1,5,0,66,11,1,0,1,56,1,5,16,6,3,7,2,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,40,30,30,30,30,70,30,30,5,5,4,2,2,4,2,3,1,1,4,1,1,2,2,2,2,4,5,1,1,1,3,2,2,2,1,2,2,2,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,1,1,0,1,1,99,政党政治を終わらせる,99,99
13,和田＝義明,わだ・よしあき,1,1,5,0,51,1,3,2,1,50,2,16,3,1,4,3,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100,10,100,10,60,55,85,10,3,4,3,2,2,1,1,4,3,1,4,1,1,4,3,4,2,2,2,3,3,2,1,1,2,2,5,3,4,1,1,1,1,0,0,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,1,0,新型コロナ対策,99,99,99
14,橋本＝美香,はしもと・みか,1,1,5,0,66,4,1,0,2,51,1,6,12,5,2,4,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,50,50,100,50,50,10,50,5,5,5,4,5,5,5,4,1,5,5,2,1,1,1,2,3,5,5,1,1,3,5,3,5,1,1,3,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,1,0,0,1,0,99,99,99,99
15,池田＝真紀,いけだ・まき,1,1,5,0,51,2,3,1,2,49,1,16,6,5,2,3,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,99,30,70,30,70,0,99,5,5,5,3,3,3,4,4,1,5,5,1,2,1,1,1,3,4,5,1,1,1,3,3,5,2,2,2,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,1,1,1,0,1,1,0,0,0,1,1,1,1,0,新型コロナ対策,99,99,99
16,斉藤＝忠行,さいとう・ただゆき,1,1,6,0,51,8,1,0,1,30,1,16,5,10,1,4,8,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,2,1,1,1,1,1,1,3,1,2,2,2,3,2,4,2,2,5,1,1,1,1,1,3,3,4,3,1,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,NHK受信料問題,99,99,99
17,西川＝将人,にしかわ・まさひと,1,1,6,0,51,2,1,0,1,52,1,16,4,10,7,3,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,25,65,20,55,20,55,25,65,4,4,3,2,4,4,4,4,1,4,4,2,2,2,2,2,2,4,4,2,2,2,3,2,4,2,2,4,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,0,1,0,コロナ対策,99,99,99
18,東＝国幹,あずま・くによし,1,1,6,0,51,1,1,0,1,53,2,5,4,14,3,2,1,0,0,1,0,1,0,1,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,100,10,99,20,98,50,80,10,2,3,4,3,2,2,3,2,2,2,4,2,2,3,3,3,3,3,4,3,3,3,1,2,3,2,99,3,4,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,99,99,99,99
19,伊東＝良孝,いとう・よしたか,1,1,7,0,51,1,3,4,1,72,2,4,6,5,3,2,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90,30,80,20,60,40,90,20,3,4,3,3,3,2,2,3,3,1,4,1,1,4,2,3,1,2,2,2,3,3,2,1,4,2,3,4,4,2,1,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0,1,0,0,0,1,99,99,99,99
20,篠田＝奈保子,しのだ・なおこ,1,1,7,0,51,2,1,0,2,49,1,7,5,6,2,1,4,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,20,95,40,70,10,60,0,100,4,4,5,2,4,4,5,5,1,5,5,2,2,1,1,1,2,4,4,1,1,1,5,4,5,1,2,3,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,99,99,99,99
21,石川＝明美,いしかわ・あけみ,1,1,7,0,66,4,1,0,1,70,1,6,9,1,1,2,5,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,70,0,100,0,50,0,70,5,5,5,3,5,5,5,5,1,5,5,3,3,1,1,1,3,5,5,1,1,1,5,3,5,2,1,4,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,99,99,99,99
22,逢坂＝誠二,おおさか・せいじ,1,1,8,0,51,2,3,4,1,62,2,16,16,16,2,1,4,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,50,100,50,50,50,50,50,100,4,4,4,3,3,2,3,3,1,4,5,2,2,2,2,2,2,3,4,1,2,1,2,3,3,2,2,3,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,地域経済の活性化も含むコロナ対策と医療福祉の強化,地域を豊かにする経済対策,教育への投資と文化芸術振興,99
23,前田＝一男,まえだ・かずお,1,1,8,0,51,1,2,2,1,55,1,5,1,3,3,2,4,1,0,1,0,0,0,0,1,0,0,0,99,99,99,99,99,99,99,99,99,99,99,90,0,100,0,60,40,90,0,5,5,3,1,3,1,1,1,1,1,3,3,3,1,3,5,2,2,3,3,5,5,1,1,3,3,5,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,99,99,99,99,99,99,99,99,99,99,99,99,99,99
24,山岡＝達丸,やまおか・たつまる,1,1,9,0,51,2,3,2,1,42,2,16,3,5,2,1,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,999,999,999,999,999,999,999,999,4,4,2,1,4,3,5,3,1,4,4,2,1,1,1,1,3,4,4,2,2,2,3,3,4,1,3,3,1,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,コロナ対策（医療・経済）全般,99,99,99
25,堀井＝学,ほりい・まなぶ,1,1,9,0,51,1,3,3,1,49,3,16,3,4,2,3,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,100,0,100,0,95,50,100,0,5,5,5,1,1,1,3,3,1,1,5,1,1,1,5,5,3,3,1,3,5,3,1,3,3,2,5,1,5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,コロナ対策,99,99,99
26,神谷＝裕,かみや・ひろし,1,1,10,0,51,2,3,1,1,53,3,16,4,5,1,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,50,90,50,50,50,50,50,80,3,4,4,2,4,3,3,3,1,5,5,2,2,3,2,2,2,4,3,1,1,1,3,3,5,2,2,3,5,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,コロナ対策,99,99,99
27,稲津＝久,いなつ・ひさし,1,1,10,0,66,3,3,4,1,63,2,4,5,6,3,2,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,90,30,100,20,50,40,90,30,4,4,3,3,3,3,4,4,2,3,3,2,3,4,3,3,3,4,3,2,2,2,2,4,3,2,3,3,2,2,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,99,99,99,99
28,石川＝香織,いしかわ・かおり,1,1,11,0,51,2,3,1,2,37,2,4,6,5,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,80,25,75,25,75,25,100,4,4,4,4,4,5,5,3,1,5,3,1,1,2,2,2,2,5,5,1,1,1,4,3,5,2,2,4,4,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,99,99,99,99
29,中川＝郁子,なかがわ・ゆうこ,1,1,11,0,51,1,2,2,2,62,3,4,3,5,2,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,100,0,100,0,80,0,100,0,3,4,4,4,3,3,2,2,3,2,4,2,2,5,3,3,3,3,5,4,5,4,2,2,3,2,3,3,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,99,99,99,99
30,川原田＝英世,かわはらだ・えいせい,1,1,12,0,51,2,1,0,1,38,1,16,4,9,3,1,4,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,90,30,50,40,80,20,80,5,5,5,2,2,4,5,5,1,5,5,1,1,1,2,3,1,5,5,1,1,1,4,3,5,1,2,1,1,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,1,コロナ対策,99,99,99
31,武部＝新,たけべ・あらた,1,1,12,0,51,1,3,3,1,51,2,16,13,4,2,3,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,100,10,100,0,50,20,100,0,3,4,4,2,1,2,2,1,3,1,4,1,1,4,3,4,3,3,2,4,5,3,1,2,3,2,5,2,5,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,0,コロナ対策,99,99,99
32,菅原＝誠,すがわら・まこと,1,1,12,0,66,4,1,0,1,48,1,16,6,4,1,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,20,80,30,100,15,70,20,80,5,5,5,3,4,4,5,4,1,5,5,3,2,1,1,1,3,5,5,1,1,1,5,3,5,1,1,3,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,コロナ問題,99,99,99
33,江渡＝聡徳,えと・あきのり,1,2,1,0,52,1,3,7,1,66,2,2,1,15,2,3,4,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,100,30,80,20,80,60,80,0,2,3,3,2,2,1,1,2,2,1,4,2,2,4,3,4,3,2,2,4,4,4,2,1,2,2,5,2,2,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,1,1,1,99,99,99,99
34,升田＝世喜男,ますた・せきお,1,2,1,0,52,2,2,1,1,64,1,5,4,6,2,4,3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,55,75,45,50,60,60,60,80,5,5,3,1,2,3,5,3,2,3,4,3,1,3,2,2,2,3,4,1,1,1,3,2,5,3,3,2,1,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,1,1,0,0,0,99,99,99,99
35,斎藤＝美緒,さいとう・みお,1,2,1,0,66,4,1,0,2,41,1,6,4,7,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,10,50,10,100,10,10,10,20,5,5,5,5,5,5,5,5,1,5,5,3,3,1,1,1,3,5,5,1,1,1,5,3,5,1,1,4,1,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,99,99,99,99
36,神田＝潤一,かんだ・じゅんいち,1,2,2,0,52,1,1,0,1,51,2,16,3,7,3,7,4,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,90,40,60,50,30,65,70,40,2,3,2,3,4,2,4,2,1,3,4,4,1,5,2,4,2,3,2,3,3,3,3,3,4,4,4,4,3,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,0,1,新型コロナ対応,99,99,99
37,高畑＝紀子,たかはた・のりこ,1,2,2,0,52,2,1,0,2,58,1,7,4,9,3,4,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,50,50,50,50,50,50,50,50,3,4,3,4,3,3,5,3,1,5,4,2,2,3,3,3,2,5,3,1,1,1,3,3,3,3,3,4,3,2,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,1,99,99,99,99
38,田端＝深雪,たばた・みゆき,1,2,2,0,66,4,1,0,2,64,1,12,5,6,1,2,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,10,80,5,99,5,45,5,80,5,5,5,5,5,5,5,5,1,5,5,2,3,1,1,1,3,5,5,1,1,1,5,4,5,1,1,4,1,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,99,99,99,99
39,山内＝崇,やまうち・たかし,1,2,3,0,52,2,1,0,1,66,1,7,6,5,3,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,40,100,50,80,30,80,30,100,4,5,4,2,2,2,3,2,1,5,5,2,2,2,1,1,2,5,4,1,2,1,2,2,4,2,2,4,2,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,99,99,99,99
40,木村＝次郎,きむら・じろう,1,2,3,0,52,1,3,1,1,53,2,16,6,1,3,2,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,100,0,90,0,25,0,85,0,2,3,3,4,4,1,2,2,3,1,4,3,2,5,2,3,2,2,3,3,3,3,2,1,4,4,5,4,3,1,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,新型コロナ対策,99,99,99
41,吉田＝恭子,よしだ・きょうこ,1,3,1,0,66,4,1,0,2,40,1,16,5,6,2,1,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,999,0,100,0,999,0,999,5,5,5,3,3,5,5,5,1,5,4,2,2,1,1,1,3,5,5,1,1,1,5,3,5,1,1,4,3,5,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,1,0,0,1,1,0,0,1,1,1,1,0,0,1,0,0,0,1,新型コロナウイルス感染症対策,99,99,99
42,階＝猛,しな・たけし,1,3,1,0,52,2,3,5,1,55,2,16,2,10,2,4,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,30,100,50,15,40,60,30,100,3,4,4,5,5,4,4,3,1,4,5,3,2,2,1,1,2,4,4,2,2,1,5,3,4,2,3,4,4,3,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,1,0,1,0,1,1,1,0,0,1,0,0,0,0,地方活性化,99,99,99
43,高橋＝比奈子,たかはし・ひなこ,1,3,1,0,52,1,3,3,2,63,1,9,6,4,3,1,7,99,99,99,99,99,99,99,99,99,99,99,0,0,0,0,0,0,0,0,0,0,1,100,0,100,0,50,20,100,0,3,3,3,3,3,2,4,3,2,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,3,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,99,99,99,99
44,大林＝正英,おおばやし・まさひで,1,3,2,0,52,2,1,0,1,57,1,6,10,3,2,3,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,25,90,25,75,50,75,50,90,3,4,3,3,4,3,4,5,1,4,3,3,1,2,2,3,2,3,4,2,2,2,3,4,4,3,2,3,4,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,1,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,99,99,99,99
45,荒川＝順子,あらかわ・じゅんこ,0,3,2,0,66,8,1,0,2,68,1,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
46,鈴木＝俊一,すずき・しゅんいち,0,3,2,0,52,1,3,9,1,68,2,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,999,999,999,999,999,999,999,999,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
47,藤原＝崇,ふじわら・たかし,1,3,3,0,52,1,3,3,1,38,2,16,4,13,3,6,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,50,50,50,50,50,50,50,50,3,2,3,2,2,2,2,2,2,2,4,2,2,4,2,2,3,4,3,4,4,3,2,2,3,2,4,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,新型コロナ対策,99,99,一票の格差に関する考え方を明記する
48,小沢＝一郎,おざわ・いちろう,1,3,3,0,52,2,3,17,1,79,3,16,7,5,1,2,3,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,0,999,999,999,999,999,0,999,5,5,4,2,3,3,3,3,1,5,5,3,1,1,2,3,3,5,5,1,2,1,3,3,4,4,1,2,3,4,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,0,0,0,0,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,新型コロナ対策,99,99,99
